Nucleos, 512 - 16, 1024 - 16, 2048 - 16, 4096 - 16
1,0.296651,2.220213,17.451253,138.948931
2,0.227485,1.391369,9.780712,73.774505
4,0.189440,0.866607,5.881665,40.654373
